Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
13317,Ippatsu Kikimusume,,TV   ,16,Group TAC,Fall ,"Comedy, Ecchi, Seinen, Crude, Short Episodes, Based on a Manga, Nudity",2.95
13318,neco眠る: ENGAWA DE DANCEHALL,,Music,,,,,2.95
13319,Frog: Metamorphosis,,Music,,,,Abstract,2.95
13320,Hanasaka Jijii,,Movie,,,,"Black and White, No Dialogue, Shorts, Animal Abuse,, Mature Themes",2.95
13321,out of service: Hoshi no Gojitsudan,,Music,,,,"Romance, Vocaloid",2.95
13322,Kinoshita: Tell me Answer,,Music,,,,Vocaloid,2.95
13323,Recorder and Randsell Mi Special, Recorder and Randsell Mi☆ Special,DVD S,,Seven,,"Comedy, Seinen, Gender Bender, Based on a 4-Koma Manga, Based on a Manga",2.95
13324,Busou Shinki: Armored War Goddess,,TV   ,12,8-Bit,Fall ,"Sci Fi, Slice of Life, Androids, Non-Human Protagonists, Robots",2.95
13325,Cinnamon's Parade,,Web  ,1,Sanrio,,"Adventure, Amusement Park, Animal Protagonists, Dogs, Family Friendly, Non-Human Protagonists, Rabbits, Sanrio Characters, Shorts",2.95
13326,Dentist Baby,,Other,,Furifurisoshiki,,"Shorts, CG Animation",2.95
13327,Narudoma,,TV   ,26,Kachidoki Studio,Spring,"Comedy, Gag, Short Episodes, Based on a Manga, Flash Animation",2.95
13328,Irodorimidori: Irotoridori no Melody,,Music,,,,"Idols, Music",2.95
13329,Ayumayu Theater, Ayumayu Gekijou,Web  ,7,Picture Magic,Summer,"Comedy, Chibi, Parody, Short Episodes, Based on an Eroge, Based on a Visual Novel",2.95
13330,Nejishiki: NukegaRide,,Music,,,,Vocaloid,2.95
13331,Suteneko Tora-chan,,Movie,,,,"Animal Protagonists, Anthropomorphic, Black and White, Cats, Music, Non-Human Protagonists, Shorts",2.95
13332,Kusatta Kyoushi No Houteishiki,,OVA  ,2,J.C.Staff,,"BL, Shounen-ai, Based on a Manga",2.95
13333,Dies irae: Irasshai Sonnenji,,Other,,A.C.G.T,,"Picture Drama, Short Episodes",2.95
13334,Honey x Honey Drops, Mitsu x Mitsu Drops,OVA  ,2,Radix Ace Entertainment,,"Ecchi, Shoujo, Sports, Basketball, School Life, Based on a Manga",2.95
13335,Moka: Mission School,,Music,,Ajia-do,,Religion,2.95
13336,Gundam Build Fighters: SD Kishi Fighters,,DVD S,,Sunrise,,"Mecha, Sci Fi, Chibi",2.95
13337,Shin Saru Kani Gassen, Monkey and Crabs (1939),Movie,,,,"Animal Protagonists, Black and White, Non-Human Protagonists, Shorts",2.95
13338,Manga Roba, The Donkey,Movie,,,,"Black and White, No Dialogue, Shorts",2.95
13339,The Laws of the Universe: Part 0, UFO Gakuen no Himitsu,Movie,,HS Pictures Studio,,"Sci Fi, Aliens, Happy Science, Person in a Strange World, Religion",2.95
13340,Princess Lover! Magical Knight Maria-chan,,DVD S,,GoHands,,,2.95
13341,Sumiko: I Don't Like Your Attitude,,Web  ,1,,,"Comedy, Family Friendly, Shorts",2.95
13342,Tachumaru Gekijou,,TV   ,26,Tatsunoko Production,,"Comedy, Animal Protagonists, Birds, Delinquents, Non-Human Protagonists, Short Episodes, Flash Animation",2.95
13343,Samurai: Hunt for the Sword, Kaitouranma: The Animation,OVA  ,2,AIC,,"Action, Feudal Japan, Martial Arts, Samurai, Based on a Video Game",2.95
13344,Taisei Kensetsu: Shin Doha Kokusai Kuukou,,Other,,CoMix Wave Films,,"Slice of Life, Commercials, Promotional, Work Life",2.95
13345,Din Dong,,Other,,,,"Comedy, Animal Protagonists, Anthropomorphic, Cats, Chinese Animation, Non-Human Protagonists, Parody, Short Episodes",2.95
13346,Seiyuu Deka,,Web  ,1,,,"Comedy, Magical Girl, Chibi, Shorts",2.95
13347,Calpis: Hakkou Monogatari,,Web  ,1,,,"Food and Beverage, Historical, Promotional",2.95
13348,Sara Ke Puccho,,Web  ,1,,,"Comedy, Promotional",2.95
13349,Aki Sora,,OVA  ,1,Hoods Entertainment,,"Ecchi, Seinen, Borderline H, School Life, Siblings, Based on a Manga, Explicit Sex,, Incest,, Mature Themes",2.95
13350,Eternal Alice, Kagihime Monogatari - Eikyuu Alice Rondo,TV   ,13,Picture Magic,Winter,"Fantasy, Magical Girl, Shounen, Alice in Wonderland, Henshin Heroes, Magic, Based on a Manga",2.95
13351,Estima: Sense of Wonder,,Web  ,13,P.I.C.S.,,"Cars, Promotional, Short Episodes",2.95
13352,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp, Aladdin and the Wonderful Lamp,Movie,,Toei Animation,,"Action, Adventure, Fantasy, Romance, Family Friendly, Genies, Magic, Middle Eastern, Based on a Fairy Tale",2.95
13353,Soul Worker: Your Destiny Awaits,,Web  ,5,LARX Entertainment,Winter,"Action, Fantasy, Monsters, Short Episodes, Based on a Video Game, CG Animation",2.95
13354,Million Arthur, Han-Gyaku-Sei Million Arthur,TV   ,10,J.C.Staff,Fall ,"Action, Comedy, Ecchi, Fantasy, Based on a Video Game",2.95
13355,Kirin Hyoketsu: Atarashiku Ikou Animation Movie,,Web  ,1,TRIGGER,,Promotional,2.95
13356,Futari wa Milky Holmes, Tantei Opera Milky Holmes: Sisters,TV   ,12,J.C.Staff,Summer,"Comedy, Mystery, Detectives, Sherlock Holmes",2.95
13357,Dallos,,OVA  ,4,Pierrot,,"Action, Sci Fi, Dystopia, Original Work",2.95
13358,Miss Machiko!, Maicching Machiko-sensei,TV   ,95,Pierrot,,"Comedy, Ecchi, Panty Shots, Based on a Manga, Nudity",2.95
13359,Tabi Machi Late Show,,TV   ,,CoMix Wave Films,Winter,"Drama, Slice of Life, Episodic, Short Episodes, Original Work",2.95
13360,Haiyoru! Nyaru-ani: Remember My Love(craft-sensei) Special, Haiyoru! Nyaruani: Remember My Mr. Lovecraft Special,DVD S,,DLE,,"Comedy, Anthropomorphic, Chibi, Interspecies Relationship, Non-Human Protagonists",2.95
13361,Reinbou, Rainbow,Other,,,,Shorts,2.95
13362,Obake no Dokuro, Dokuro the Ghost,Web  ,1,Cyclone Graphics,,"Family Friendly, Shorts, Supernatural, Original Work",2.95
13363,Hairy Tale, Asience: Kami wa Onna no Inochi,Other,,Production I.G,,"Romance, Abstract, Commercials, Feudal Japan, Promotional, Original Work",2.95
13364,Uchuu Enban Dai-Senso, Great Battle of the Flying Saucers,Movie,,Toei Animation,,"Action, Mecha, Sci Fi",2.95
13365,The Fashion Boy is Cool, Oshare Kozou wa Hanamaru,OVA  ,1,MADHOUSE,,"Romance, Shoujo, Fashion, Based on a Manga",2.95
13366,Blood-C: None-None Gekijou,,Web  ,7,,,"Comedy, Chibi, Short Episodes",2.95
13367,Hana wa Saku: Touhoku ni Saku,,TV   ,,Cyclone Graphics,,"Fantasy, Crossover, Family Friendly, Japanese Mythology, Shorts, Youkai",2.95
13368,"Love Position, Legend of the Halley",,OVA  ,1,Tezuka Productions,,"Sci Fi, Aliens, Nudity",2.94
13369,Chinka,,Web  ,1,,,Action,2.94
13370,Piroppo,,TV   ,23,Studio 4°C,Fall ,"Comedy, Short Episodes",2.94
13371,Usaband,,Web  ,1,,,"Animal Protagonists, Anthropomorphic, Music, Non-Human Protagonists, Rabbits",2.94
13372,Bamboo Bears,,TV   ,52,Spring 1997,,"Animal Protagonists, Anthropomorphic, Bears, Environmental, Family Friendly, Non-Human Protagonists",2.94
13373,Corpse Party: Missing Footage,,OVA  ,1,asread,,"Horror, Supernatural, Based on a Doujinshi, Based on a Video Game, Explicit Violence,, Nudity",2.94
13374,Lily C.A.T.,,OVA  ,1,Pierrot,,"Horror, Sci Fi, Outer Space, Original Work, Animal Abuse,, Explicit Violence,, Mature Themes",2.94
13375,Makura Izumi: Saishuu Densha,,Music,,,,,2.94
13376,Catman,,Web  ,7,FCC,,"Slice of Life, Abstract, Animal Protagonists, Anthropomorphic, Cats, Music, Non-Human Protagonists, Flash Animation",2.94
13377,Queen's Blade: Vanquished Queens,,OVA  ,4,Hoods Entertainment,,"Ecchi, Fantasy, Borderline H, Explicit Sex",2.94
13378,Present made no Michinori,,Web  ,1,,,"Action, No Dialogue, Shorts, Original Work",2.94
13379,Ai Kido: Joki Joki Tailor,,Music,,,,Family Friendly,2.94
13380,"Taka no Tsume-dan, Kono Natsu, Mura Hajimemasu."," Eagle Talon, Kono Natsu, Mura Hajimemasu.",Web  ,1,DLE,,"Comedy, Commercials, Countryside, Promotional, Flash Animation",2.94
13381,Comet Lucifer,,TV   ,12,8-Bit,Fall ,"Action, Mecha, Romance, Sci Fi, Original Work",2.94
13382,Mugen Shinshi: Bouken Katsugeki Hen,,OVA  ,1,Gallop,,"Fantasy, Horror, Mystery, Shounen, Detectives, Based on a Manga",2.94
13383,Kaichuu! 2nd,,Web  ,2,Fall 2011,,"Comedy, Seinen, Sports, Archery, Crossdressing, Short Episodes, Based on a Manga",2.94
13384,Lovely Idol,,TV   ,12,AIC ASTA,Fall ,"Comedy, Idols, Music",2.94
13385,NETWORKS: Ake-Vono,,Music,,,,,2.94
13386,Hashi no Mukou,,Web  ,1,Iyasakadou,Summer,"Action, Horror, Mystery, Military",2.94
13387,HoneyWorks: Kimi ga Mata Utaitakunaru Koro ni., Kimi ga Mata Utaitakunaru Koro ni.,Music,,,,Vocaloid,2.94
13388,A.F.R.O: Wonderland (UG Ver.),,Music,,,,Abstract,2.94
13389,sasakure.UK: Patchwork Eden,,Music,,,,Vocaloid,2.94
13390,Handsome Girl, Handsome na Kanojo,OVA  ,1,J.C.Staff,,"Comedy, Drama, Romance, Shoujo, Acting, Showbiz, Based on a Manga",2.94
13391,Vampillia: Endless Summer,,Music,,,,"Black and White, Forest, Monsters",2.94
13392,Kenshi Yonezu: Christmas Morgue,,Music,,,,Vocaloid,2.94
13393,GANTZ x Senran Kagura New Link PV,,Other,,,,"Ecchi, Commercials, Crossover, Promotional, Based on a Mobile Game",2.94
13394,Shijin no Shougai, The Life of a Poet,Movie,,,,"Abstract, Shorts",2.94
13395,Vocaloid China Project Senden Animation,,Other,,Seven Stone,,"Slice of Life, Chinese Animation, Idols, Music, No Dialogue, Promotional, Short Episodes, Vocaloid",2.94
13396,Idol Project,,OVA  ,4,Studio Live,,"Fantasy, Idols, Person in a Strange World, Showbiz",2.94
13397,Kid Icarus, Shin Hikari Shinwa: Palutena no Kagami,Web  ,6,Production I.G,,"Action, Fantasy, Promotional, Short Episodes, Based on a Video Game",2.94
13398,MAPS,,OVA  ,4,TMS Entertainment,,"Action, Adventure, Sci Fi, Outer Space, Explicit Violence",2.94
13399,MonHun Nikki Girigiri Airu Mura: Airu Kiki Ippatsu,,Web  ,10,,,"Comedy, Animal Protagonists, Anthropomorphic, Cats, Non-Human Protagonists, Short Episodes, Based on a Video Game",2.94
13400,009-1,,TV   ,12,Ishimori Productions,Fall ,"Action, Ecchi, Sci Fi, Seinen, Cyborgs, Espionage, Based on a Manga, Sexual Content",2.94
13401,The Tender March, Yasashii March,Movie,,,,"Abstract, Shorts",2.94
13402,Manga Ookami wa Ookamida, A Wolf is a Wolf,Movie,,,,"Animal Protagonists, Black and White, Countryside, No Dialogue, Non-Human Protagonists, Shorts",2.94
13403,Spots Spots,,Movie,,,,"Fantasy, No Dialogue, Shorts, Original Work",2.94
13404,Queen's Blade Rebellion vs. Hagure Yuusha no Aesthetica,,Other,,,,"Action, Ecchi, Fantasy, Crossover, Short Episodes, Nudity",2.94
13405,Alice in the Country of Hearts: Wonderful Wonder World, Heart no Kuni no Alice: Wonderful Wonder World,Movie,,Asahi Production,,"Adventure, Comedy, Fantasy, Reverse Harem, Shoujo, Alice in Wonderland, Based on an Otome Game, Based on a Visual Novel",2.94
13406,Growlanser IV: Wayfarer of the Time,,OVA  ,1,feel.,,"Action, Fantasy, RPG, Based on a Video Game",2.94
13407,Prism Ark Specials,,DVD S,,Frontline,,,2.94
13408,MIRChee: Kyak Kyak Kyak Flamenco,,Music,,,,Dancing,2.94
13409,sasakure.UK: Little Cry of The Abyss, asakure.UK: Little Cry of The Abyss,Music,,,,Vocaloid,2.94
13410,D.A.N: Ghana,,Music,,,,Music,2.94
13411,Uchuu Seibutsu Jirou,,Web  ,1,Fanworks,,"Aliens, Cats, Non-Human Protagonists, Outer Space, Promotional, Shorts",2.94
13412,Rent-A-Girlfriend Mini Anime," Kanojo, Okarishimasu Mini Anime",Web  ,15,AQUA ARIS,Summer,"Comedy, Chibi, Short Episodes",2.94
13413,Moka: Lost Forest, Lost Forest,Music,,David Production,,,2.94
13414,3-pun de Wakaru! Kore made no Love Live! Sunshine!!,,Web  ,1,,,"Idols, Recap, Shorts",2.94
13415,K: Seven Stories - The Idol K,,Other,,GoHands,,"Chibi, Idols, Short Episodes, Original Work",2.94
13416,Mad Bull 34,,OVA  ,4,Magic Bus,,"Action, Comedy, Police, Based on a Manga, Drug Use,, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse",2.94
13417,Miss Monochrome: Manager,,OVA  ,1,LIDEN FILMS,,"Comedy, Slice of Life, Androids, Idols, Music, Non-Human Protagonists, Robots, Showbiz, Vocaloid, Original Work",2.94
13418,Jinki:Extend - And Then..., Jinki:Extend - Sorekara,DVD S,,,,"Shounen, Based on a Manga",2.94
13419,Ojisan and Marshmallow: Hige-san and Marshmallow, Ojisan to Marshmallow: Hige-san to Yume Mashmallow,DVD S,,Creators in Pack,,"Comedy, Based on a Manga",2.94
13420,Bokunchi no Chabo, Minna no Uta: Bokunchi no Chabo,Music,,,,"Animal Protagonists, Birds, Family Friendly, Minna no Uta, Non-Human Protagonists",2.94
13421,Natsu no Shisen, A Gaze in Summer -1942,Movie,,,,"Abstract, Shorts",2.94
13422,Saténové ruky: DušaN,,Music,,,,,2.94
13423,NAMUAMIDABUTSU! -UTENA-, Namu Amida Butsu! Rendai Utena,TV   ,12,Asahi Production,Spring,"Action, Fantasy, Slice of Life, Buddhism, Contemporary Fantasy, Gods, Religion, Supernatural, Based on a Video Game",2.94
13424,_summer, Underbar Summer,OVA  ,2,Rikuentai,,"Comedy, Harem, Romance, Slice of Life, Based on an Eroge, Based on a Visual Novel",2.94
13425,Red Ash -Gearworld-, Red Ash -Magicicada-,Movie,,Studio 4°C,,"Fantasy, Anime Tamago, Shorts, CG Animation",2.94
13426,A brightening life,,Movie,,,,"Abstract, No Dialogue, Non-Human Protagonists, Poverty, Shorts, Stop Motion Animation, Original Work",2.94
13427,Kenshi Yonezu: Clock Lock Works,,Music,,Minakata Laboratory,,Vocaloid,2.94
13428,Happy World!,,OVA  ,3,Zexcs,,"Ecchi, Romance, Seinen, Angels, Cohabitation, Non-Human Protagonists, Supernatural, Based on a Manga",2.94
13429,Mitsuwano,,OVA  ,1,Zexcs,,"Drama, Slice of Life, Shorts, Based on a Light Novel",2.94
13430,Cosmic Fantasy: Ginga Me Hyou no Wana,,OVA  ,1,,,"Action, Sci Fi, Outer Space, Space Pirates, Based on a Video Game",2.94
13431,Four Birds,,Web  ,,,,"Comedy, Animal Protagonists, Birds, Family Friendly, Non-Human Protagonists, Shorts",2.94
13432,Green Dakara x Bakemono no Ko, Green Dakara x The Boy and the Beast,Other,,Studio Chizu,,"Anthropomorphic, Commercials, Promotional, Short Episodes",2.94
13433,Aikodesho, Minna no Uta: Aikodesho,Music,,,,Minna no Uta,2.94
13434,Lala-chan Santa no Fantasy Christmas,,Music,,,,"Christmas, Family Friendly",2.94
13435,ARP Backstage Pass: Celebrate Times - Short Stories,,TV Sp,,Dynamo Pictures,,"Comedy, Chibi, Idols, Showbiz",2.94
13436,Download: Namu Amida Butsu wa Ai no Uta,,OVA  ,1,MADHOUSE,,"Action, Sci Fi, Cyberpunk",2.93
13437,Kappa Godaime,,Other,,,,"Stop Motion Animation, Youkai, Flash Animation",2.93
13438,Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone,,TV   ,13,Radix Ace Entertainment,Summer,"Comedy, Ecchi, Magical Girl, Henshin Heroes, Magic, Original Work",2.93
13439,Irodorimidori: Very! Merry!! Session!!!,,Music,,,,"Idols, Music",2.93
13440,Sengoku Choujuu Giga, Sengoku Choujuu Giga: Kou,TV   ,13,ILCA,Fall ,"Comedy, Fantasy, Animal Protagonists, Feudal Japan, Historical, Non-Human Protagonists, Parody, Short Episodes, Original Work",2.93
13441,AIKa R-16: Virgin Mission,,OVA  ,3,Studio Fantasia,,"Action, Ecchi, Sci Fi, Panty Shots, Post-apocalyptic, Treasure Hunters, Original Work, Nudity",2.93
13442,Peeping Life: The Perfect Emotion,,OVA  ,10,CoMix Wave Films,,Short Episodes,2.93
13443,Rage of Bahamut: Genesis - Roundup, Shingeki no Bahamut: Genesis Recap,TV Sp,,MAPPA,,"Recap, Based on a Mobile Game",2.93
13444,Bio Hunter,,OVA  ,1,MADHOUSE,,"Action, Horror, Seinen, Demons, Based on a Manga, Explicit Sex,, Explicit Violence",2.93
13445,Bride of Deimos, Deimos no Hanayome: Ran no Kumikyoku,OVA  ,1,MADHOUSE,,"Drama, Fantasy, Horror, Shoujo, Gods, Greek Mythology, Non-Human Protagonists, Based on a Manga",2.93
13446,First Squad,,Music,,Studio 4°C,,"Military, Swordplay, War",2.93
13447,Sumiko TV,,TV   ,,OperaHouse,Summer,"Comedy, Slice of Life, Family Friendly, Short Episodes, Original Work",2.93
13448,Vie Durant,,Web  ,8,Radix Ace Entertainment,Summer,"Sci Fi, Short Episodes",2.93
13449,Onegai Patron-sama! Episode 0, Dear My Patron! Episode 0,Web  ,1,TANOsim,Fall ,"Idols, CG Animation, Original Work",2.93
13450,Toukiden Kiwami,,Web  ,1,Studio 4°C,,"Action, Fantasy, Promotional, Shorts, Based on a Video Game",2.93
13451,SD Gundam Sidestory,"Alt titles: Kidou Senshi SD Gundam Gaiden, Mobile Suit SD Gundam Sidestory",OVA  ,4,,,"Comedy, Mecha, Chibi, Parody",2.93
13452,The Gakuen Choujotai,,OVA  ,1,Magic Bus,,"Action, Psychic Powers, Supernatural, Superpowers, Based on a Light Novel, Nudity",2.93
13453,Kerokko Demetan, Adventures on Rainbow Pond,TV   ,39,Tatsunoko Production,,"Animal Protagonists, Anthropomorphic, Family Friendly, Frogs, Non-Human Protagonists",2.93
13454,Dai 6-kai Shin Chitose Kuukou Kokusai Animation Eigasai PR Clip, 6th Annual New Chitose Airport International Animation Festival PR Clip,Other,,,,"Promotional, Shorts",2.93
13455,Aoshima Megu,,Other,,,,"Comedy, Promotional, Tourism, Original Work",2.93
13456,Hibiki Ao: Start Signal, Hibiki Ao: Start no Aizu,Music,,,,"Idols, Virtual Reality",2.93
13457,Valkyrie Drive: Mermaid,,TV   ,12,ARMS,Fall ,"Action, Ecchi, Fantasy, GL, Yuri, Borderline H, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse",2.93
13458,RAG FAIR: Magical Music Train,,Music,,,,Trains,2.93
13459,Weiss Survive,,TV   ,16,Studio Hibari,Summer,"Comedy, Ecchi, Card Battles, Short Episodes, Tsundere, Based on a Manga",2.93
13460,Samurai,,Movie,,,,"Black and White, Samurai, Shorts",2.93
13461,Oshiri Tantei: Puputto Fumutto Kaiketsu Dance,,Web  ,1,Toei Animation,,"Comedy, Detectives, Family Friendly, Shorts, Based on a Picture Book",2.93
13462,Salmon-chan, Syake-chan,Web  ,1,,,"Comedy, Animal Protagonists, Anthropomorphic, Dark Comedy, Gag, Non-Human Protagonists, Shorts, Original Work",2.93
13463,sasakure.UK: The Trash-Heap Princess and Apostrophe, The Trash-Heap Princess and Apostrophe,Music,,,,Vocaloid,2.93
13464,Match Shoujo,,Web  ,1,NAZ,,"Promotional, Based on a Manga",2.93
13465,Fight!! Iczer-One, Tatakae!! Iczer-1,OVA  ,3,AIC,,"Action, Sci Fi, Aliens, Based on a Manga, Nudity,, Violence",2.93
13466,Val x Love, Ikusa x Koi,TV   ,12,Hoods Entertainment,Fall ,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, Shounen, Demons, Mental Illness, Norse Mythology, School Life, Based on a Manga, Sexual Content,, Violence",2.93
13467,THE CHARM PARK: Stars Colliding,,Music,,,,,2.93
13468,Balloon,,Web  ,1,,,Shorts,2.93
13469,Gingahoumen-P: Ashita no Password, Gingahoumen-P: Tomorrow's Password,Music,,,,"Chibi, Vocaloid",2.93
13470,Sukoyaka Oyako 21 x Taka no Tsume-dan, Sukoyaka Oyako 21 x Eagle Talon,Web  ,5,DLE,,"Comedy, Drama, Crossover, Educational, Short Episodes, Flash Animation, Mature Themes",2.93
13471,Sound Horizon: Yodaka no Hoshi,,Music,,,,Action,2.93
13472,Tatamp,,Movie,,,,"Abstract, Shorts",2.93
13473,Hello Kitty's Furry Tale Theater, Sanrio Anime Sekai Meisaku Gekijou,TV   ,13,,,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Episodic, Family Friendly, Non-Human Protagonists, Sanrio Characters, Based on a Fairy Tale",2.93
13474,Oira no Hijouji, My Big Emergency,Movie,,,,"Animal Protagonists, Black and White, Frogs, No Dialogue, Non-Human Protagonists, Shorts, War",2.93
13475,Kyuutai Panic Adventure Returns!, Orb Panic Adventure Returns!,Other,,,,"Action, Shounen, Crossover, Martial Arts, Shorts, Superpowers",2.93
13476,Spring has come!,,Web  ,1,,,Abstract,2.93
13477,Ghastly Prince Enma Burning Up, Dororon Enma-kun Meeramera,TV   ,12,Brain's Base,Spring,"Comedy, Ecchi, Fantasy, Shounen, Crude, Superpowers",2.93
13478,Maken-ki! Two Specials,,DVD S,,XEBEC,,"Comedy, Shounen, Based on a Manga",2.93
13479,Ukkarimono no Santa Claus, Careless Santa Claus,Music,,,,Christmas,2.93
13480,18if,,TV   ,13,GONZO,Summer,"Drama, Fantasy, Dream World, Episodic, Based on a Mobile Game, Bullying,, Mature Themes,, Suicide,, Violence",2.93
13481,Inaba no Kuni no Usagi-san, The Hare in Inaba,Movie,,,,"Animal Protagonists, Black and White, No Dialogue, Non-Human Protagonists, Rabbits, Shorts",2.93
13482,Saki Picture Drama,,DVD S,,GONZO,,"Comedy, Seinen, Slice of Life, Mahjong, Picture Drama, Based on a Manga",2.93
13483,Melty Lancer,,OVA  ,6,GONZO,,"Action, Sci Fi, Mercenaries, Based on a Video Game",2.93
13484,Azure Nihon Data Center,,Web  ,1,,,Promotional,2.93
13485,Planetes Picture Drama,,DVD S,,Sunrise,,"Sci Fi, Slice of Life, Picture Drama",2.93
13486,Rebirth Moon Divergence,,OVA  ,1,Idea Factory,,"Action, Fantasy, RPG, Shorts, Swordplay, Based on a Video Game",2.93
13487,Gall Force: The Revolution,,OVA  ,4,Artland,,"Action, Mecha, Sci Fi, Military, Original Work",2.93
13488,The Tokyo Project, Tokyo Vice,OVA  ,1,Minami Machi Bugyousho,,"Action, Sci Fi, Detectives, Kidnapping, Robots",2.93
13489,Anisava,,TV   ,13,DLE,Summer,"Comedy, Romance, Slice of Life, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Short Episodes, Work Life, Flash Animation, Original Work, Mature Themes",2.93
13490,Alphard x Taka no Tsume, Alphard x Eagle Talon,Web  ,3,DLE,,"Comedy, Cars, Parody, Promotional, Short Episodes, Superheroes, Flash Animation",2.93
13491,Kakari, A Clerk in Charge,Movie,,,,"Animal Protagonists, Black and White, Non-Human Protagonists, Shorts",2.93
13492,Nansensu Monogatari Daiichi-hen: Sarugashima," Nonsense Story, Vol.1: Monkey Island",Movie,,,,"Black and White, Jungle",2.93
13493,Super HxEros, Dokyuu Hentai HxEros,TV   ,12,Project No.9,Summer,"Comedy, Ecchi, Harem, Romance, Sci Fi, Shounen, School Life, Based on a Manga",2.93
13494,Gakkatsu!,,TV   ,25,Spring 2012,,"Comedy, Chibi, School Life, Short Episodes, Flash Animation, Original Work",2.93
13495,Straw Mania,,Web  ,1,,,"Comedy, Shorts",2.93
13496,Minimoni: Minihams no Ai no Uta,,Music,,,,"Animal Protagonists, Family Friendly, Music, Non-Human Protagonists",2.93
13497,Ani Tore!! XX Specials, Anime De Training! XX Specials,DVD S,,,,"POV, Original Work",2.93
13498,Flying Witch Petit Special,,DVD S,,Domerica,,"Comedy, Shounen, Slice of Life, Chibi, Based on a Manga, CG Animation",2.93
