Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
13291,Denkou Choujin Gridman: boys invent great hero, Nihon Animator Mihonichi: Denkou Choujin Gridman: boys invent great hero,Web  ,1,Khara,,"Action, Mecha, Sci Fi, Japan Animator's Exhibition, Monsters, Shorts",2.96
13292,Komori-san Can't Decline!, Komori-san wa Kotowarenai!,TV   ,12,Artland,Fall ,"Comedy, Seinen, School Life, Short Episodes, Based on a 4-Koma Manga, Based on a Manga",2.96
13293,Labyrinth of Flames, Honoo no Labyrinth,OVA  ,2,Studio Fantasia,,"Action, Comedy, Ecchi, Panty Shots, Royalty, Russia, Samurai, Slapstick, Swordplay, Original Work, Nudity,, Violence",2.95
13294,Frame Arms Girl,,TV   ,12,Studio A-Cat,Spring,"Action, Sci Fi, Androids, Non-Human Protagonists, Panty Shots, Proxy Battles, Robots",2.95
13295,Mameshiba: Mamerry Christmas,,Other,,,,"Christmas, Family Friendly, Shorts, Stop Motion Animation",2.95
13296,Quiz Magic Academy: The Original Animation 2,,OVA  ,1,AIC PLUS+,,"Comedy, Fantasy, Gag, Magic, Magic School, Monsters, Parody, School Life, Based on a Video Game",2.95
13297,Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,,DVD S,,ufotable,,Music,2.95
13298,Kinken Chochiku Shiobara Tasuke, Shiobara Tasuke,Movie,,,,"Black and White, Shorts",2.95
13299,Sanuki Film Festival 2015 Opening Animation, Sanuki Eiga-sai 2015 Opening Eizou,Other,,,,"Abstract, Food and Beverage, Opening Animation, Promotional",2.95
13300,Henna Ie!,,Music,,,,"Adventure, Fantasy, Minna no Uta",2.95
13301,Yui Aragaki: piece, piece,Music,,Studio Ghibli,,Slice of Life,2.95
13302,Demon Lord Dante, Maou Dante,TV   ,13,Magic Bus,Summer,"Horror, Demons, Supernatural, Explicit Violence,, Mature Themes",2.95
13303,Take the X Train, X Densha de Ikou,OVA  ,1,MADHOUSE,,"Supernatural, Trains, Based on a Novel, Nudity,, Sexual Content",2.95
13304,Kyoto Animation CM: Kasa-hen,,Other,,Kyoto Animation,,"Action, Commercials, Promotional, Shorts",2.95
13305,Pinocchio-P: Mushroom Mother,,Music,,,,Vocaloid,2.95
13306,Pinocchio-P: Doushite-chan no Theme, Pinocchio-P: Doushite-chan‘s Theme,Music,,,,Vocaloid,2.95
13307,Kicking Rocks, Ishikeri,Movie,,,,"Abstract, Shorts",2.95
13308,Shibainu: Sagashimono,,Music,,,,"Slice of Life, Vocaloid",2.95
13309,Taisei Kensetsu: Bosporus Kaikyou Tunnel,,Other,,CoMix Wave Films,,"Slice of Life, Commercials, Promotional, Work Life",2.95
13310,Monster Strike,,Web  ,51,Studio Hibari,Fall ,"Action, Fantasy, Monsters, Short Episodes, Based on a Mobile Game",2.95
13311,Taisei Kensetsu: Sri Lanka Kousokudouro,,Other,,CoMix Wave Films,,"Slice of Life, Commercials, Promotional, Work Life",2.95
13312,Gunbuster: Science Lessons,"Alt titles: Aim For the Top! Science Lessons, Top wo Nerae! Science Lessons",DVD S,,GAINAX,,"Educational, Original Work",2.95
13313,V6: Taiyou to Tsuki no Kodomo-tachi (2018),,Music,,,,,2.95
13314,"Yami no Kioku, Yume no Inei",,Movie,,,,"Abstract, Shorts",2.95
13315,Parol no Miraijima,,Movie,,Shin-Ei Animation,,"Adventure, Fantasy, Animal Protagonists, Anime Tamago, Island, Non-Human Protagonists, Shorts",2.95
13316,Red Dracul Scar Tissue x Jazztronik: Answer,,Music,,,,Music,2.95
